influencer_id,name,category,gender,follower_count,platform
INF_001,Allison Hill,Wellness,Male,27225,Twitter
INF_002,Noah Rhodes,Health,Male,147316,Instagram
INF_003,Angie Henderson,Wellness,Male,620176,TikTok
INF_004,Daniel Wagner,Fitness,Male,99246,YouTube
INF_005,Cristian Santos,Health,Male,589508,YouTube
INF_006,Connie Lawrence,Wellness,Female,232148,TikTok
INF_007,Abigail Shaffer,Sports,Female,849749,Instagram
INF_008,Gina Moore,Health,Female,357778,Twitter
INF_009,Gabrielle Davis,Health,Male,801581,Twitter
INF_010,Ryan Munoz,Fitness,Male,399382,Instagram
INF_011,Monica Herrera,Nutrition,Female,634052,Twitter
INF_012,Jamie Arnold,Fitness,Female,563275,Instagram
INF_013,Lisa Hensley,Lifestyle,Male,579856,Twitter
INF_014,Michele Williams,Wellness,Female,606397,YouTube
INF_015,Dylan Miller,Wellness,Male,49050,YouTube
INF_016,Brian Ramirez,Nutrition,Male,897865,YouTube
INF_017,Holly Wood,Fitness,Female,292476,TikTok
INF_018,Derek Zuniga,Wellness,Female,171555,Twitter
INF_019,Lisa Jackson,Nutrition,Male,703729,Twitter
INF_020,Carla Gray,Wellness,Male,639720,YouTube
INF_021,Margaret Hawkins DDS,Sports,Male,172339,TikTok
INF_022,Patty Perez,Lifestyle,Female,971342,YouTube
INF_023,Ethan Adams,Wellness,Female,884794,Instagram
INF_024,Tommy Walter,Health,Male,845151,Twitter
INF_025,Matthew Foster,Lifestyle,Female,70403,YouTube
INF_026,Judy Baker,Sports,Female,223955,TikTok
INF_027,Justin Baker,Lifestyle,Female,150811,Twitter
INF_028,Stephanie Ross,Health,Male,782177,Twitter
INF_029,Zachary Hicks,Wellness,Female,942435,TikTok
INF_030,Anthony Rodriguez,Nutrition,Male,146051,TikTok
INF_031,Rebecca Henderson,Fitness,Male,903931,Instagram
INF_032,James Ferrell,Health,Male,831555,TikTok
INF_033,Tricia Valencia,Sports,Male,404457,TikTok
INF_034,Nathan Maldonado,Sports,Female,555816,Twitter
INF_035,Debra Davidson,Sports,Male,714328,Instagram
INF_036,Jeffrey Chavez,Wellness,Female,806934,Twitter
INF_037,Sherri Baker,Fitness,Female,456884,YouTube
INF_038,Cassandra Gaines,Lifestyle,Male,758168,Twitter
INF_039,Elizabeth Fowler,Sports,Male,533342,Instagram
INF_040,Brittany Farmer,Wellness,Female,883554,YouTube
INF_041,Paula Moreno,Health,Female,800550,YouTube
INF_042,Fred Smith,Sports,Male,629038,Twitter
INF_043,Sherry Decker,Lifestyle,Male,118301,Twitter
INF_044,Anthony Humphrey,Nutrition,Male,61738,YouTube
INF_045,Angelica Tucker,Sports,Male,90814,TikTok
INF_046,Philip Cannon,Fitness,Male,135628,TikTok
INF_047,John Pierce,Sports,Male,278932,TikTok
INF_048,Shane Henderson,Health,Male,748581,Twitter
INF_049,Joshua Blair,Lifestyle,Female,460381,TikTok
INF_050,Eric Carney,Fitness,Male,236612,Instagram
